id,name,mentions,source_books
E00001,船舶电气设备维修指南,1,船舶电气设备维修指南
E01132,"内河船舶电气设备的原理与维护(马南琦等编著,马南琦等编著,马南琦",1,"内河船舶电气设备的原理与维护 (马南琦等编著, 马南琦等编著, 马南琦)"
E01895,"现代船舶柴油机故障分析(黄少竹主编,黄少竹主编,黄少竹",1,"现代船舶柴油机故障分析 (黄少竹主编, 黄少竹主编, 黄少竹)"
E02324,"舰船动力装置故障诊断与可靠性(张维竞编,張維競(船舶工程",1,"舰船动力装置故障诊断与可靠性 (张维竞编, 張維競 (船舶工程))"
E02739,船舶内燃机故障急修手册(麦庆祥著,1,船舶内燃机故障急修手册 (麦庆祥著)
E02938,船舶柴油机故障实例(张庆信编,1,船舶柴油机故障实例 (张庆信编)
E03014,"船舶液压机械维护与故障分析(郑士君,宋新新编著",1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)"
E03543,船舶液压系统故障诊断与维修技术(郑士君编著,1,船舶液压系统故障诊断与维修技术 (郑士君编著)
E04004,"船舶电气设备及系统(大连海事大学出版社,2011)(郑华耀",1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)"
E04918,"船舶电气设备调试与维护(杜杨主编,杜杨主编,杜杨",1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)"
